id,text,emojis,sticker_tags,label,split
1,"If it’s okay, can we move this meeting to tomorrow?",😊,hug,polite,train
2,"I told you already, just do it.",😡🤬,angry,impolite,train
3,This is embarrassing.,🤬👎,eyeroll,impolite,train
4,That’s a terrible suggestion.,💀,thumbsdown,impolite,val
5,Unbelievable—how can you miss this?,🙄🤣,thumbsdown,impolite,train
6,I really appreciate your quick response.,😊😊,heart,polite,train
7,You clearly don’t understand the basics.,👎🎉,eyeroll,impolite,val
8,It would be great if you could confirm the agenda.,😊,thumbsup,polite,train
9,Fix the mess you created.,🤬✨,facepalm,impolite,train
10,Stop wasting my time and fix it.,😒,facepalm,impolite,train
11,"No worries at all, take your time.",💖👏💖,heart,polite,train
12,Stop sending me half-baked work.,😡🥵,thumbsdown,impolite,train
13,Read the instructions properly for once.,🙄,thumbsdown,impolite,train
14,This is wrong—did you even read the brief?,😒👏,angry,impolite,train
15,What part of this is hard to get?,😠👏,rage,impolite,train
16,Why didn’t you send the file yet?,👎😤,rage,impolite,train
17,Appreciate the clarification—thank you!,👍,smile,polite,val
18,Your insights were very valuable—thanks!,🤗🙏,thumbsup,polite,test
19,I’m not your babysitter.,👎,thumbsdown,impolite,val
20,"Would you mind checking this once more, please?",✨🤣🥰,party,polite,train
21,Please let me know if I can support in any way.,🤗😂,heart,polite,train
22,"I don’t care, just finish it.",🙄😤,angry,impolite,test
23,"Sorry for the delay, I’ll send it now.",😊,clap,polite,train
24,Stop sending me half-baked work.,🤬😤😡,boo,impolite,train
25,Your insights were very valuable—thanks!,👍🥵🙌,clap,polite,test
26,"Mind giving this a quick look, please?",🥰,smile,polite,train
27,"Sorry for the delay, I’ll send it now.",🙏👏,smile,polite,train
28,Great job on the report—well done!,😊🙂,ok,polite,test
29,I really appreciate your quick response.,🙂🥵,heart,polite,train
30,I’m grateful for your patience with this.,🙂✨✨,hug,polite,test
31,It would be great if you could confirm the agenda.,😊,ok,polite,train
32,Thanks for looping me in on this thread.,🙏🎉,clap,polite,train
33,Are you serious with this draft?,😒😤💀,angry,impolite,test
34,Fix the mess you created.,🙄🔥,thumbsdown,impolite,train
35,Could you please share the file when you have a moment?,🙌👏,clap,polite,val
36,Thanks for looping me in on this thread.,🙂💖,heart,polite,train
37,Why didn’t you send the file yet?,👎🤣,sad,impolite,train
38,I’m grateful for your patience with this.,🙌👏🥰,smile,polite,test
39,Happy to help—just say the word.,🤗🥵,smile,polite,train
40,Great job on the report—well done!,👍🎉,clap,polite,test
41,Unbelievable—how can you miss this?,😒🎉,boo,impolite,train
42,I really appreciate your quick response.,🙌,heart,polite,train
43,This is wrong—did you even read the brief?,😒🙄,rage,impolite,train
44,I’m grateful for your patience with this.,🤗,ok,polite,test
45,Read the instructions properly for once.,😡🔥,rage,impolite,train
46,Happy to help—just say the word.,🙂,smile,polite,train
47,Kindly review the attachment and share feedback.,🙌,hug,polite,train
48,Kindly review the attachment and share feedback.,🙌🤣,ok,polite,train
49,Why didn’t you send the file yet?,😡,rage,impolite,train
50,Stop wasting my time and fix it.,😒,rage,impolite,train
51,You keep making the same mistakes.,😡🥵👎,boo,impolite,test
52,Thanks for looping me in on this thread.,🙏🙂,thumbsup,polite,train
53,I’m not your babysitter.,😒🥵😡,facepalm,impolite,val
54,"Do it now, no excuses.",💀🤯,thumbsdown,impolite,train
55,That was very thoughtful of you.,💖,smile,polite,train
56,Appreciate the clarification—thank you!,😊💖,clap,polite,val
57,Could you please share the file when you have a moment?,😊🥰,thumbsup,polite,val
58,This is embarrassing.,👎✨,rage,impolite,train
59,This is embarrassing.,😑😂,angry,impolite,train
60,I really appreciate your quick response.,😇,party,polite,train
61,"Do it now, no excuses.",💢👏🤬,angry,impolite,train
62,Your insights were very valuable—thanks!,🙏🔥,party,polite,test
63,I’m not your babysitter.,👎,angry,impolite,val
64,Please let me know if I can support in any way.,👍👏,ok,polite,train
65,You clearly don’t understand the basics.,👎,boo,impolite,val
66,Please let me know if I can support in any way.,😇🎉,ok,polite,train
67,"Would you mind checking this once more, please?",🙌🥵,party,polite,train
68,Thanks a lot for your help today!,👍🔥✨,clap,polite,train
69,It would be great if you could confirm the agenda.,🤗,party,polite,train
70,That was very thoughtful of you.,😊🤣,heart,polite,train
71,Stop wasting my time and fix it.,😑,facepalm,impolite,train
72,Your insights were very valuable—thanks!,🙂🙌,smile,polite,test
73,Fix the mess you created.,👎🤯💀,boo,impolite,train
74,Kindly review the attachment and share feedback.,😇,hug,polite,train
75,Could you please share the file when you have a moment?,😊😂,heart,polite,val
76,"No worries at all, take your time.",🙂👍,hug,polite,train
77,Thanks a lot for your help today!,🙌,ok,polite,train
78,"Do it now, no excuses.",💢🤯💀,boo,impolite,train
79,Stop sending me half-baked work.,🙄🔥,facepalm,impolite,train
80,Happy to help—just say the word.,🙂,smile,polite,train
81,Stop sending me half-baked work.,👎,facepalm,impolite,train
82,Kindly review the attachment and share feedback.,😊🤣🙏,hug,polite,train
83,Stop wasting my time and fix it.,😑✨,angry,impolite,train
84,Don’t ping me again until it’s done.,💢😂,angry,impolite,train
85,"Sorry for the delay, I’ll send it now.",🙏🥵👍,ok,polite,train
86,Why didn’t you send the file yet?,💀🤯😑,boo,impolite,train
87,Are you serious with this draft?,💀,eyeroll,impolite,test
88,"Do it now, no excuses.",👎,rage,impolite,train
89,That’s a terrible suggestion.,💢😠,eyeroll,impolite,val
90,"Do it now, no excuses.",🤬🔥😡,rage,impolite,train
91,Happy to help—just say the word.,💖😤,party,polite,train
92,You keep making the same mistakes.,😒👏,sad,impolite,test
93,"Many thanks, the update was super helpful.",👍🔥😇,party,polite,val
94,Stop wasting my time and fix it.,👎😤,thumbsdown,impolite,train
95,This is embarrassing.,😡🤯,rage,impolite,train
96,That was very thoughtful of you.,✨🤣,clap,polite,train
97,Are you serious with this draft?,😠,boo,impolite,test
98,Your insights were very valuable—thanks!,💖🤣✨,hug,polite,test
99,"I told you already, just do it.",😑,eyeroll,impolite,train
100,Please feel free to suggest improvements.,💖🥵✨,heart,polite,train
101,Kindly review the attachment and share feedback.,✨,smile,polite,train
102,Fix the mess you created.,👎🎉,boo,impolite,train
103,Why didn’t you send the file yet?,🤬,eyeroll,impolite,train
104,"Mind giving this a quick look, please?",👍😤,ok,polite,train
105,This is embarrassing.,💀😤,boo,impolite,train
106,"Mind giving this a quick look, please?",🤗🔥,thumbsup,polite,train
107,This is wrong—did you even read the brief?,👎,eyeroll,impolite,train
108,That was very thoughtful of you.,💖😤🙌,clap,polite,train
109,Please feel free to suggest improvements.,🤗🤯✨,clap,polite,train
110,"Many thanks, the update was super helpful.",✨🤯🙂,clap,polite,val
111,It’s not my job to explain this again.,😡😂👎,rage,impolite,train
112,"This is useless, start over.",💀💀,facepalm,impolite,test
113,"No worries at all, take your time.",😇,clap,polite,train
114,You keep making the same mistakes.,👎🤣,rage,impolite,test
115,It’s not my job to explain this again.,🤬✨😡,rage,impolite,train
116,Stop sending me half-baked work.,💀,thumbsdown,impolite,train
117,"No worries at all, take your time.",✨🤣,smile,polite,train
118,Read the instructions properly for once.,💀🤯,sad,impolite,train
119,Don’t ping me again until it’s done.,😒😂,sad,impolite,train
120,Could you please share the file when you have a moment?,💖😂🙌,clap,polite,val
121,"Would you mind checking this once more, please?",🙌🥵,clap,polite,train
122,Unbelievable—how can you miss this?,💢🔥,thumbsdown,impolite,train
123,Don’t ping me again until it’s done.,🤬🥵💀,boo,impolite,train
124,Read the instructions properly for once.,💀✨,eyeroll,impolite,train
125,I’m grateful for your patience with this.,💖,clap,polite,test
126,"Do it now, no excuses.",💢🤣😑,thumbsdown,impolite,train
127,"This is useless, start over.",🙄,facepalm,impolite,test
128,Please let me know if I can support in any way.,👍✨🤗,smile,polite,train
129,Kindly review the attachment and share feedback.,😊🙏,clap,polite,train
130,"I don’t care, just finish it.",😠👏,facepalm,impolite,test
131,"I don’t care, just finish it.",🤬✨,rage,impolite,test
132,Stop wasting my time and fix it.,😒🎉,sad,impolite,train
133,This is embarrassing.,💀😂,eyeroll,impolite,train
134,Happy to help—just say the word.,💖,ok,polite,train
135,This is wrong—did you even read the brief?,🤬👏😠,angry,impolite,train
136,Happy to help—just say the word.,😇😤,clap,polite,train
137,This is embarrassing.,👎🤣😡,rage,impolite,train
138,Are you serious with this draft?,😒🥵,angry,impolite,test
139,Please let me know if I can support in any way.,🤗🥰,smile,polite,train
140,This is wrong—did you even read the brief?,😡🤣,sad,impolite,train
141,Thanks a lot for your help today!,🤗,hug,polite,train
142,"I don’t care, just finish it.",💀🥵,angry,impolite,test
143,Kindly review the attachment and share feedback.,🙌😇,hug,polite,train
144,You keep making the same mistakes.,👎,rage,impolite,test
145,Appreciate the clarification—thank you!,🙏🥵💖,smile,polite,val
146,"Many thanks, the update was super helpful.",🙌😤,heart,polite,val
147,Happy to help—just say the word.,🙌😊,clap,polite,train
148,That was very thoughtful of you.,🙂🔥,thumbsup,polite,train
149,"I told you already, just do it.",😡🤯,eyeroll,impolite,train
150,It’s not my job to explain this again.,💀🤯,facepalm,impolite,train
151,This is wrong—did you even read the brief?,😑✨,boo,impolite,train
152,"If it’s okay, can we move this meeting to tomorrow?",🥰😂,clap,polite,train
153,Stop sending me half-baked work.,💢🥵,boo,impolite,train
154,This is embarrassing.,💀🤯😒,thumbsdown,impolite,train
155,I really appreciate your quick response.,🙌🤣,party,polite,train
156,You keep making the same mistakes.,👎,rage,impolite,test
157,Appreciate the clarification—thank you!,✨,ok,polite,val
158,Your insights were very valuable—thanks!,😊😤,hug,polite,test
159,"Sorry for the delay, I’ll send it now.",😊👏,heart,polite,train
160,Thanks for looping me in on this thread.,✨🎉,heart,polite,train
161,Appreciate the clarification—thank you!,🥰😂,clap,polite,val
162,That’s a terrible suggestion.,👎😂,eyeroll,impolite,val
163,Unbelievable—how can you miss this?,😑👏,thumbsdown,impolite,train
164,What part of this is hard to get?,👎,angry,impolite,train
165,This is wrong—did you even read the brief?,😑🎉,rage,impolite,train
166,Please let me know if I can support in any way.,👍😤🙏,party,polite,train
167,Stop sending me half-baked work.,🤬,eyeroll,impolite,train
168,"I told you already, just do it.",😠✨😠,thumbsdown,impolite,train
169,This is wrong—did you even read the brief?,😒✨😠,eyeroll,impolite,train
170,Thanks a lot for your help today!,🙂🙂,thumbsup,polite,train
171,Why didn’t you send the file yet?,💀😂,angry,impolite,train
172,Kindly review the attachment and share feedback.,😊🙌,hug,polite,train
173,Why didn’t you send the file yet?,😠,sad,impolite,train
174,Unbelievable—how can you miss this?,👎✨,eyeroll,impolite,train
175,This is wrong—did you even read the brief?,😠,rage,impolite,train
176,"No worries at all, take your time.",🙏,clap,polite,train
177,Stop wasting my time and fix it.,💀💢,facepalm,impolite,train
178,"Many thanks, the update was super helpful.",👍🙏,hug,polite,val
179,This is wrong—did you even read the brief?,😑🥵👎,sad,impolite,train
180,Read the instructions properly for once.,😑✨,facepalm,impolite,train
181,"I told you already, just do it.",🙄,rage,impolite,train
182,"Mind giving this a quick look, please?",🙏👏,hug,polite,train
183,"Would you mind checking this once more, please?",😊✨🤗,hug,polite,train
184,"Sorry for the delay, I’ll send it now.",👍🙏,ok,polite,train
185,Appreciate the clarification—thank you!,✨,ok,polite,val
186,"Do it now, no excuses.",😠👏😠,angry,impolite,train
187,That was very thoughtful of you.,😊🤣👍,smile,polite,train
188,"No worries at all, take your time.",✨😇,hug,polite,train
189,"This is useless, start over.",💢🤬,boo,impolite,test
190,"Do it now, no excuses.",💀,sad,impolite,train
191,"Would you mind checking this once more, please?",😊🤣,thumbsup,polite,train
192,Please feel free to suggest improvements.,😊🤯,clap,polite,train
193,What part of this is hard to get?,👎✨,sad,impolite,train
194,"I told you already, just do it.",😑😤,thumbsdown,impolite,train
195,That’s a terrible suggestion.,💀😂💀,sad,impolite,val
196,"Many thanks, the update was super helpful.",😇😊,thumbsup,polite,val
