id,text,emojis,sticker_tags,label,split
1,"I clarified it; All good, send me the link. stop",,,polite,train
2,This is clear. Could you also update the other part? nice,👏,"clap,stk_intensifier",polite,test
3,"Thanks for the branch, that was nice. already",👍,"ok,heart,stk_softener",polite,train
4,"Thanks, Noted. I'll take it from here",,,polite,train
5,"Thanks for the module, that was clear. review",😌,,polite,val
6,This is thoughtful. Could you also check the other part? clarify,🙄,"eyeroll,stk_hostility",polite,train
7,"Can you confirm this today, please? time",😉,,polite,train
8,This is careful. Could you also send the other part?,😐,,polite,train
9,Makes sense. Let me know if you need help.,😉,,polite,val
10,Could you check this when you can please?,🥳,"ok,stk_softener",polite,train
11,"Hi, your PR looks great. gentle",😐,,polite,train
12,Okay. Let me know if you need help. great,😌,,polite,train
13,It would be helpful if you can confirm it after lunch. great,👍,"ok,heart,stk_softener",polite,train
14,"Thanks for the patch, that was fine. done",🎉,"clap,stk_intensifier",polite,test
15,"Can you clean this now, ? ship",👍,"ok,heart,stk_softener",polite,test
16,"Hello, your work looks clear.",🥳,,polite,train
17,Please update the patch before standup. note,👏,"clap,stk_intensifier",polite,train
18,"Thanks for the change, that was nice.",😄,,polite,train
19,Please fix the patch tomorrow. gentle,💖,"ok,heart,stk_softener",polite,train
20,Please explain the report after lunch. sync,🥳,,polite,train
21,Okay. Let me know if you need help. send,🤩,,polite,test
22,Please explain the work before standup.,🤝,,polite,test
23,"Can you check this next hour, ? already",🙂,"ok,heart,stk_softener",polite,train
24,It would be careful if you can check it today. version,🤩,,polite,train
25,This is solid. Could you also redo the other part? please,🎉,"rage,stk_hostility",polite,train
26,I appreciate the patch.,🙂,"ok,heart,stk_softener",polite,train
27,"Can you finish this today, ? gentle",😊,"ok,heart,stk_softener",polite,train
28,It would be clear if you can explain it after lunch. wow,😐,,polite,val
29,"Thanks, Makes sense. send me the link already",👍,"ok,heart,stk_softener",polite,train
30,"Hi, your idea looks nice.",😁,"party,stk_intensifier",polite,train
31,"I reviewed it; Noted, please share the details.",😉,,polite,train
32,It would be clear if you can ship it before standup. ping,🤝,"eyeroll,stk_hostility",polite,train
33,I appreciate the PR. sync,👏,"clap,stk_intensifier",polite,val
34,"Thanks for the PR, that was fine. great",🤝,,polite,train
35,"Can you clarify this after lunch, please?",🙄,"eyeroll,stk_hostility",polite,test
36,I appreciate the work.,👏,"clap,stk_intensifier",polite,val
37,I appreciate the report.,💖,"ok,heart,stk_softener",polite,val
38,This is great. Could you also explain the other part?,😄,,polite,train
39,"Hi, your update looks useful.",🤞,,polite,train
40,All good. Let me know if you need help. work,😄,,polite,train
41,This is nice. Could you also confirm the other part? check,🎉,"clap,stk_intensifier",polite,test
42,I appreciate the update. update,👍,"ok,heart,stk_softener",polite,train
43,Understood. Let me know if you need help. later,😉,"party,stk_intensifier",polite,train
44,"Thanks for the work, that was clear. deploy",😬,"eyeroll,stk_hostility",polite,train
45,"Thanks, Okay. send me the link help",😬,,polite,train
46,Understood. Let me know if you need help. maybe,😌,,polite,train
47,It would be great if you can fix it tomorrow. time,✨,,polite,train
48,This is clear. Could you also update the other part? ship,🎉,"clap,stk_intensifier",polite,val
49,Please clean the work before standup.,🙂,"ok,heart,stk_softener",polite,train
50,Could you explain this next hour ? time,😁,,polite,train
51,Got it. Let me know if you need help. work,👍,"ok,heart,stk_softener",polite,train
52,"Hello, your doc looks thoughtful. please",🥳,,polite,train
53,"Can you send this by EOD, please?",🙌,,polite,test
54,"I redid it; Okay, I'll take it from here. detail",🤩,,polite,train
55,"Hello, your update looks fine.",👍,"ok,heart,stk_softener",polite,train
56,"Thanks, Understood. send me the link",🙂,"party,stk_intensifier",polite,train
57,"Hello, your report looks nice. redo",🤝,,polite,train
58,This is useful. Could you also explain the other part?,✨,,polite,train
59,Makes sense. Let me know if you need help. sure,🤩,,polite,test
60,"Can you update this when you can, please?",😁,,polite,train
61,"Can you send this ASAP, please? detail",🙌,"facepalm,stk_hostility",polite,train
62,Could you clean this now please?,🎉,"clap,stk_intensifier",polite,train
63,"I checked it; Okay, we can sync later.",🤗,"ok,heart,stk_softener",polite,test
64,I appreciate the report. note,😊,"ok,heart,stk_softener",polite,train
65,This is thoughtful. Could you also redo the other part?,🙂,"ok,heart,stk_softener",polite,test
66,"Can you finish this now, ?",😄,,polite,train
67,"Hi, your report looks solid. deploy",😁,,polite,train
68,"Can you ship this today, please? send",😉,,polite,train
69,"Thanks, Understood. ping me if stuck",😕,,polite,train
70,"Thanks, Noted. please share the details send",👏,"party,stk_intensifier",polite,train
71,It would be nice if you can clarify it when you can.,🙂,"ok,heart,stk_softener",polite,train
72,"Can you clarify this by EOD, ? done",🙂,"ok,heart,stk_softener",polite,test
73,"Hey, your doc looks solid. clean",🤗,"party,stk_intensifier",polite,train
74,"Thanks, All good. send me the link help",✨,,polite,train
75,"Thanks, Understood. send me the link nice",🥳,,polite,train
76,Please confirm the module soon. clean,😬,,polite,train
77,"I updated it; Okay, send me the link. already",🤩,,polite,train
78,"Thanks, Understood. please share the details clarify",👍,"ok,heart,stk_softener",polite,train
79,"Can you redo this today, please?",😊,"ok,heart,stk_softener",polite,train
80,It would be polished if you can deploy it now. deploy,😕,,polite,train
81,This is fine. Could you also explain the other part? ping,💖,"hug,stk_softener",polite,test
