id,text,emojis,sticker_tags,label,split
1,"I clarified it; All good, send me the link. stop",,boom-hard,polite,train
2,This is clear. Could you also update the other part? nice,👏,ghost,polite,test
3,"Thanks for the branch, that was nice. already",👍,medal,polite,train
4,"Thanks, Noted. I'll take it from here",,plug,polite,train
5,"Thanks for the module, that was clear. review",😌,skull,polite,val
6,This is thoughtful. Could you also check the other part? clarify,🙄,ok-hand,polite,train
7,"Can you confirm this today, please? time",😉,celebrate,polite,train
8,This is careful. Could you also send the other part?,😐,yawn,polite,train
9,Makes sense. Let me know if you need help.,😉,hmm,polite,val
10,Could you check this when you can please?,🥳,ok,polite,train
11,"Hi, your PR looks great. gentle",😐,,polite,train
12,Okay. Let me know if you need help. great,😌,guitar,polite,train
13,It would be helpful if you can confirm it after lunch. great,👍,thumbs-up,polite,train
14,"Thanks for the patch, that was fine. done",🎉,paperclip,polite,test
15,"Can you clean this now, ? ship",👍,exclamation,polite,test
16,"Hello, your work looks clear.",🥳,,polite,train
17,Please update the patch before standup. note,👏,idea,polite,train
18,"Thanks for the change, that was nice.",😄,party-popper,polite,train
19,Please fix the patch tomorrow. gentle,💖,paperclip,polite,train
20,Please explain the report after lunch. sync,🥳,celebrate,polite,train
21,Okay. Let me know if you need help. send,🤩,tada,polite,test
22,Please explain the work before standup.,🤝,thumbs-down,polite,test
23,"Can you check this next hour, ? already",🙂,key,polite,train
24,It would be careful if you can check it today. version,🤩,tea,polite,train
25,This is solid. Could you also redo the other part? please,🎉,angry,polite,train
26,I appreciate the patch.,🙂,,polite,train
27,"Can you finish this today, ? gentle",😊,tada,polite,train
28,It would be clear if you can explain it after lunch. wow,😐,,polite,val
29,"Thanks, Makes sense. send me the link already",👍,zzz,polite,train
30,"Hi, your idea looks nice.",😁,party,polite,train
31,"I reviewed it; Noted, please share the details.",😉,lightbulb,polite,train
32,It would be clear if you can ship it before standup. ping,🤝,eyeroll,polite,train
33,I appreciate the PR. sync,👏,star,polite,val
34,"Thanks for the PR, that was fine. great",🤝,medal,polite,train
35,"Can you clarify this after lunch, please?",🙄,celebrate,polite,test
36,I appreciate the work.,👏,nerd,polite,val
37,I appreciate the report.,💖,medal,polite,val
38,This is great. Could you also explain the other part?,😄,trophy,polite,train
39,"Hi, your update looks useful.",🤞,explode,polite,train
40,All good. Let me know if you need help. work,😄,zzz,polite,train
41,This is nice. Could you also confirm the other part? check,🎉,bell,polite,test
42,I appreciate the update. update,👍,ghost,polite,train
43,Understood. Let me know if you need help. later,😉,party,polite,train
44,"Thanks for the work, that was clear. deploy",😬,eyeroll,polite,train
45,"Thanks, Okay. send me the link help",😬,,polite,train
46,Understood. Let me know if you need help. maybe,😌,gasp,polite,train
47,It would be great if you can fix it tomorrow. time,✨,music,polite,train
48,This is clear. Could you also update the other part? ship,🎉,hourglass,polite,val
49,Please clean the work before standup.,🙂,ghost,polite,train
50,Could you explain this next hour ? time,😁,video,polite,train
51,Got it. Let me know if you need help. work,👍,tada,polite,train
52,"Hello, your doc looks thoughtful. please",🥳,boom,polite,train
53,"Can you send this by EOD, please?",🙌,lightbulb,polite,test
54,"I redid it; Okay, I'll take it from here. detail",🤩,idea,polite,train
55,"Hello, your update looks fine.",👍,hmm,polite,train
56,"Thanks, Understood. send me the link",🙂,cheers,polite,train
57,"Hello, your report looks nice. redo",🤝,camera,polite,train
58,This is useful. Could you also explain the other part?,✨,wifi,polite,train
59,Makes sense. Let me know if you need help. sure,🤩,,polite,test
60,"Can you update this when you can, please?",😁,sweat,polite,train
61,"Can you send this ASAP, please? detail",🙌,facepalm,polite,train
62,Could you clean this now please?,🎉,sparkles,polite,train
63,"I checked it; Okay, we can sync later.",🤗,gasp,polite,test
64,I appreciate the report. note,😊,,polite,train
65,This is thoughtful. Could you also redo the other part?,🙂,tada,polite,test
66,"Can you finish this now, ?",😄,skull,polite,train
67,"Hi, your report looks solid. deploy",😁,whistle,polite,train
68,"Can you ship this today, please? send",😉,shrug,polite,train
69,"Thanks, Understood. ping me if stuck",😕,exclamation,polite,train
70,"Thanks, Noted. please share the details send",👏,cheers,polite,train
71,It would be nice if you can clarify it when you can.,🙂,bicep,polite,train
72,"Can you clarify this by EOD, ? done",🙂,bulb,polite,test
73,"Hey, your doc looks solid. clean",🤗,party,polite,train
